Departamento de residencia,Causa de muerte,Total,Hombres,Mujeres,Anio,Código CIE-10
Jalapa,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",124,62,62,12,
Jalapa,Otras causas,573,307,266,12,
Jutiapa,Todas las causas,2603,1514,1089,12,
Jutiapa,Infarto agudo del miocardio,341,199,142,12,
Jutiapa,"Agresión con disparo de otras armas de fuego, y las no especificadas",215,198,17,12,
Jutiapa,"Neumonía, organismo no especificado",133,80,53,12,
Jutiapa,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",132,65,67,12,
Jutiapa,"Diabetes mellitus, no especificada",131,57,74,12,
Jutiapa,Tumor maligno del estómago,96,46,50,12,
Jutiapa,Secuelas de otros efectos y los no especificados de causas externas,81,67,14,12,
Jutiapa,Insuficiencia cardíaca,74,38,36,12,
Jutiapa,Otras enfermedades cerebrovasculares,73,41,32,12,
Jutiapa,Exposición a factores no especificados,61,51,10,12,
Jutiapa,Diabetes mellitus no insulinodependiente,55,26,29,12,
Jutiapa,Insuficiencia renal crónica,55,28,27,12,
Jutiapa,Tumor maligno del hígado y de las vías biliares intrahepáticas,53,22,31,12,
Jutiapa,Tumor maligno de la próstata,41,41,0,12,
Jutiapa,Diarrea y gastroenteritis de presunto origen infeccioso,39,21,18,12,
Jutiapa,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",58,30,28,12,
Jutiapa,Otras causas,965,504,461,12,
Extranjero,Todas las causas,143,93,50,12,
Extranjero,"Agresión con disparo de otras armas de fuego, y las no especificadas",38,34,4,12,
Extranjero,"Disparo de otras armas de fuego, y las no especificadas",12,9,3,12,
Extranjero,Exposición a factores no especificados,10,5,5,12,
Extranjero,Insuficiencia renal crónica,6,2,4,12,
Extranjero,Secuelas de otros efectos y los no especificados de causas externas,6,4,2,12,
Extranjero,"Diabetes mellitus, no especificada",5,1,4,12,
Extranjero,Infarto agudo del miocardio,5,4,1,12,
Extranjero,"Agresión por ahorcamiento, estrangulamiento y sofocación",4,2,2,12,
Extranjero,Insuficiencia cardíaca,3,1,2,12,
Extranjero,"Neumonía, organismo no especificado",3,3,0,12,
Extranjero,Fibrosis y cirrosis del hígado,3,2,1,12,
Extranjero,Diabetes mellitus no insulinodependiente,2,1,1,12,
Extranjero,Embolia pulmonar,2,1,1,12,
Extranjero,Otras enfermedades del pericardio,2,1,1,12,
Extranjero,Hemorragia intraencefálica,2,1,1,12,
Extranjero,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",7,5,2,12,
Extranjero,Otras causas,33,17,16,12,
Ignorado,Todas las causas,534,432,102,12,
Ignorado,Exposición a factores no especificados,105,95,10,12,
Ignorado,"Agresión con disparo de otras armas de fuego, y las no especificadas",45,37,8,12,
Ignorado,"Disparo de otras armas de fuego, y las no especificadas",33,29,4,12,
Ignorado,"Neumonía, organismo no especificado",20,18,2,12,
Ignorado,Agresión con objeto cortante,16,13,3,12,
Ignorado,Obstrucción no especificada de la respiración,15,13,2,12,
Ignorado,Fibrosis y cirrosis del hígado,13,12,1,12,
Ignorado,Ahogamiento y sumersión no especificados,12,10,2,12,
Ignorado,"Agresión por ahorcamiento, estrangulamiento y sofocación",11,10,1,12,
Ignorado,Infarto agudo del miocardio,9,7,2,12,
Ignorado,Edema pulmonar,9,6,3,12,
Ignorado,Secuelas de otros efectos y los no especificados de causas externas,9,9,0,12,
Ignorado,Trastornos mentales y del comportamiento debidos al uso de alcohol,8,6,2,12,
Ignorado,"Contacto traumático con cuchillo, espada, daga o puñal",8,6,2,12,
Ignorado,Otras septicemias,7,6,1,12,
Ignorado,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",63,46,17,12,
Ignorado,Otras causas,151,109,42,12,
Todos los departamentos,Todas las causas,76639,43220,33419,13,Todas las causas
Todos los departamentos,"Neumonía, organismo no especificado",7423,3892,3531,13,J18
Todos los departamentos,Infarto agudo del miocardio,4810,2579,2231,13,I21
Todos los departamentos,"Diabetes mellitus, no especificada",3891,1583,2308,13,E14
Todos los departamentos,"Agresión con disparo de otras armas de fuego, y las no especificadas",3536,3130,406,13,X95
Todos los departamentos,Exposición a factores no especificados,2957,2333,624,13,X59
Todos los departamentos,Diarrea y gastroenteritis de presunto origen infeccioso,2282,1206,1076,13,A09
Todos los departamentos,Fibrosis y cirrosis del hígado,1917,1215,702,13,K74
Todos los departamentos,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",1836,843,993,13,I64
Todos los departamentos,Insuficiencia cardíaca,1754,832,922,13,I50
Todos los departamentos,"Desnutrición proteicocalórica, no especificada",1465,727,738,13,E46
Todos los departamentos,Tumor maligno del estómago,1390,643,747,13,C16
Todos los departamentos,Tumor maligno del hígado y de las vías biliares intrahepáticas,1302,598,704,13,C22
Todos los departamentos,Diabetes mellitus no insulinodependiente,1296,551,745,13,E11
Todos los departamentos,Insuficiencia renal crónica,1256,664,592,13,N18
Todos los departamentos,"Accidente de vehículo de motor o sin motor, tipo de vehículo no especificado",1158,964,194,13,V89
Todos los departamentos,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",5516,2864,2652,13,R00 - R99
Todos los departamentos,Otras causas,32850,18596,14254,13,Otras causas
Guatemala,Todas las causas,17852,9808,8044,13,Todas las causas
Guatemala,"Diabetes mellitus, no especificada",1212,506,706,13,E14
Guatemala,Infarto agudo del miocardio,1138,572,566,13,I21
Guatemala,"Agresión con disparo de otras armas de fuego, y las no especificadas",1086,938,148,13,X95
Guatemala,Exposición a factores no especificados,835,650,185,13,X59
Guatemala,"Neumonía, organismo no especificado",718,360,358,13,J18
Guatemala,Fibrosis y cirrosis del hígado,633,415,218,13,K74
Guatemala,Diabetes mellitus no insulinodependiente,491,236,255,13,E11
Guatemala,Insuficiencia renal crónica,417,198,219,13,N18
Guatemala,"Desnutrición proteicocalórica, no especificada",403,194,209,13,E46
Guatemala,Tumor maligno del hígado y de las vías biliares intrahepáticas,335,165,170,13,C22
Guatemala,Insuficiencia cardíaca,294,140,154,13,I50
Guatemala,Tumor maligno del estómago,292,124,168,13,C16
Guatemala,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",276,122,154,13,I64
Guatemala,Enfermedad alcohólica del hígado,244,214,30,13,K70
Guatemala,"Disparo de otras armas de fuego, y las no especificadas",240,207,33,13,W34
Guatemala,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",1070,476,594,13,R00 - R99
Guatemala,Otras causas,8168,4291,3877,13,Otras causas
El Progreso,Todas las causas,930,550,380,13,Todas las causas
El Progreso,Infarto agudo del miocardio,162,105,57,13,I21
El Progreso,"Diabetes mellitus, no especificada",54,22,32,13,E14
El Progreso,"Neumonía, organismo no especificado",53,27,26,13,J18
El Progreso,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",49,22,27,13,I64
El Progreso,"Agresión con disparo de otras armas de fuego, y las no especificadas",49,45,4,13,X95
El Progreso,Tumor maligno del estómago,33,10,23,13,C16
El Progreso,Exposición a factores no especificados,33,24,9,13,X59
El Progreso,Tumor maligno del hígado y de las vías biliares intrahepáticas,30,12,18,13,C22
El Progreso,Fibrosis y cirrosis del hígado,23,19,4,13,K74
El Progreso,"Accidente de vehículo de motor o sin motor, tipo de vehículo no especificado",17,15,2,13,V89
El Progreso,Diabetes mellitus no insulinodependiente,16,2,14,13,E11
El Progreso,Tumor maligno de la próstata,15,15,0,13,C61
El Progreso,Otras enfermedades pulmonares obstructivas crónicas,14,5,9,13,J44
El Progreso,Otras septicemias,12,4,8,13,A41
El Progreso,Insuficiencia renal no especificada,11,6,5,13,N19
El Progreso,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",24,14,10,13,R00 - R99
El Progreso,Otras causas,335,203,132,13,Otras causas
Sacatepequez,Todas las causas,1569,859,710,13,Todas las causas
Sacatepequez,"Neumonía, organismo no especificado",114,68,46,13,J18
Sacatepequez,"Diabetes mellitus, no especificada",107,40,67,13,E14
Sacatepequez,Infarto agudo del miocardio,106,60,46,13,I21
Sacatepequez,Exposición a factores no especificados,75,61,14,13,X59
Sacatepequez,Diabetes mellitus no insulinodependiente,72,34,38,13,E11
Sacatepequez,"Desnutrición proteicocalórica, no especificada",54,29,25,13,E46
Sacatepequez,Fibrosis y cirrosis del hígado,43,27,16,13,K74
Sacatepequez,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",40,17,23,13,I64
Sacatepequez,Insuficiencia renal crónica,36,20,16,13,N18
Sacatepequez,Enfermedad alcohólica del hígado,35,29,6,13,K70
Sacatepequez,"Agresión con disparo de otras armas de fuego, y las no especificadas",32,30,2,13,X95
Sacatepequez,Tumor maligno del estómago,31,14,17,13,C16
Sacatepequez,Tumor maligno del hígado y de las vías biliares intrahepáticas,30,12,18,13,C22
Sacatepequez,Otras enfermedades cerebrovasculares,29,14,15,13,I67
Sacatepequez,Otras enfermedades pulmonares obstructivas crónicas,27,17,10,13,J44
Sacatepequez,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",80,40,40,13,R00 - R99
Sacatepequez,Otras causas,658,347,311,13,Otras causas
Chimaltenango,Todas las causas,2573,1411,1162,13,Todas las causas
Chimaltenango,"Neumonía, organismo no especificado",264,132,132,13,J18
Chimaltenango,"Diabetes mellitus, no especificada",138,53,85,13,E14
Chimaltenango,Infarto agudo del miocardio,135,76,59,13,I21
Chimaltenango,Insuficiencia cardíaca,128,68,60,13,I50
Chimaltenango,Exposición a factores no especificados,123,104,19,13,X59
Chimaltenango,Enfermedad alcohólica del hígado,89,82,7,13,K70
Chimaltenango,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",85,36,49,13,I64
Chimaltenango,Tumor maligno del estómago,83,40,43,13,C16
Chimaltenango,Fibrosis y cirrosis del hígado,80,48,32,13,K74
Chimaltenango,"Accidente de vehículo de motor o sin motor, tipo de vehículo no especificado",79,49,30,13,V89
Chimaltenango,Otras enfermedades pulmonares obstructivas crónicas,59,22,37,13,J44
Chimaltenango,"Agresión con disparo de otras armas de fuego, y las no especificadas",55,51,4,13,X95
Chimaltenango,"Envenenamiento accidental por, y exposición al alcohol",53,51,2,13,X45
Chimaltenango,Tumor maligno del hígado y de las vías biliares intrahepáticas,52,21,31,13,C22
Chimaltenango,Diarrea y gastroenteritis de presunto origen infeccioso,41,26,15,13,A09
Chimaltenango,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",95,41,54,13,R00 - R99
Chimaltenango,Otras causas,1014,511,503,13,Otras causas
Escuintla,Todas las causas,4085,2455,1630,13,Todas las causas
Escuintla,"Agresión con disparo de otras armas de fuego, y las no especificadas",393,351,42,13,X95
Escuintla,Infarto agudo del miocardio,299,160,139,13,I21
Escuintla,"Neumonía, organismo no especificado",270,150,120,13,J18
Escuintla,"Diabetes mellitus, no especificada",258,107,151,13,E14
Escuintla,Exposición a factores no especificados,170,135,35,13,X59
Escuintla,Fibrosis y cirrosis del hígado,107,72,35,13,K74
Escuintla,Insuficiencia renal crónica,103,61,42,13,N18
Escuintla,Tumor maligno del hígado y de las vías biliares intrahepáticas,97,45,52,13,C22
Escuintla,Diabetes mellitus no insulinodependiente,97,32,65,13,E11
Escuintla,"Accidente de vehículo de motor o sin motor, tipo de vehículo no especificado",87,73,14,13,V89
Escuintla,"Desnutrición proteicocalórica, no especificada",72,33,39,13,E46
Escuintla,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",71,36,35,13,I64
Escuintla,Insuficiencia renal no especificada,69,36,33,13,N19
Escuintla,Otras enfermedades cerebrovasculares,60,31,29,13,I67
Escuintla,Tumor maligno de la próstata,54,54,0,13,C61
Escuintla,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",263,152,111,13,R00 - R99
Escuintla,Otras causas,1615,927,688,13,Otras causas
Santa Rosa,Todas las causas,2095,1270,825,13,Todas las causas
Santa Rosa,"Agresión con disparo de otras armas de fuego, y las no especificadas",168,156,12,13,X95
Santa Rosa,Infarto agudo del miocardio,149,67,82,13,I21
Santa Rosa,"Neumonía, organismo no especificado",98,56,42,13,J18
Santa Rosa,"Diabetes mellitus, no especificada",95,37,58,13,E14
Santa Rosa,Insuficiencia cardíaca,74,40,34,13,I50
Santa Rosa,"Accidente de vehículo de motor o sin motor, tipo de vehículo no especificado",73,64,9,13,V89
Santa Rosa,Exposición a factores no especificados,71,61,10,13,X59
Santa Rosa,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",59,31,28,13,I64
Santa Rosa,Insuficiencia renal crónica,44,25,19,13,N18
Santa Rosa,Fibrosis y cirrosis del hígado,42,27,15,13,K74
Santa Rosa,Tumor maligno del estómago,34,22,12,13,C16
Santa Rosa,Tumor maligno del hígado y de las vías biliares intrahepáticas,27,9,18,13,C22
Santa Rosa,Otras septicemias,26,17,9,13,A41
Santa Rosa,Diabetes mellitus no insulinodependiente,26,11,15,13,E11
Santa Rosa,Otras enfermedades pulmonares obstructivas crónicas,26,20,6,13,J44
Santa Rosa,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",222,128,94,13,R00 - R99
Santa Rosa,Otras causas,861,499,362,13,Otras causas
Solola,Todas las causas,1720,996,724,13,Todas las causas
Solola,"Neumonía, organismo no especificado",307,134,173,13,J18
Solola,"Diabetes mellitus, no especificada",84,37,47,13,E14
Solola,Diarrea y gastroenteritis de presunto origen infeccioso,60,37,23,13,A09
Solola,Infarto agudo del miocardio,60,32,28,13,I21
Solola,Exposición a factores no especificados,55,50,5,13,X59
Solola,"Envenenamiento accidental por, y exposición al alcohol",52,50,2,13,X45
Solola,Fibrosis y cirrosis del hígado,51,40,11,13,K74
Solola,"Desnutrición proteicocalórica, no especificada",43,21,22,13,E46
Solola,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",37,16,21,13,I64
Solola,Tumor maligno del estómago,32,17,15,13,C16
Solola,Tumor maligno del hígado y de las vías biliares intrahepáticas,32,16,16,13,C22
Solola,Insuficiencia renal no especificada,32,15,17,13,N19
Solola,Insuficiencia cardíaca,31,14,17,13,I50
Solola,Trastornos mentales y del comportamiento debidos al uso de alcohol,26,24,2,13,F10
Solola,Insuficiencia renal crónica,25,10,15,13,N18
Solola,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",233,132,101,13,R00 - R99
Solola,Otras causas,560,351,209,13,Otras causas
Totonicapan,Todas las causas,2042,1096,946,13,Todas las causas
Totonicapan,"Neumonía, organismo no especificado",370,190,180,13,J18
Totonicapan,Infarto agudo del miocardio,98,47,51,13,I21
Totonicapan,Insuficiencia cardíaca,96,40,56,13,I50
Totonicapan,Diarrea y gastroenteritis de presunto origen infeccioso,88,50,38,13,A09
Totonicapan,"Envenenamiento accidental por, y exposición al alcohol",86,72,14,13,X45
Totonicapan,Fibrosis y cirrosis del hígado,71,47,24,13,K74
Totonicapan,"Diabetes mellitus, no especificada",66,41,25,13,E14
Totonicapan,Exposición a factores no especificados,57,43,14,13,X59
Totonicapan,Enfermedad alcohólica del hígado,48,35,13,13,K70
Totonicapan,Trastornos mentales y del comportamiento debidos al uso de alcohol,34,32,2,13,F10
Totonicapan,Diabetes mellitus no insulinodependiente,33,16,17,13,E11
Totonicapan,"Desnutrición proteicocalórica, no especificada",24,10,14,13,E46
Totonicapan,Otras enfermedades cerebrovasculares,24,12,12,13,I67
Totonicapan,Úlcera gástrica,24,10,14,13,K25
Totonicapan,"Accidente de vehículo de motor o sin motor, tipo de vehículo no especificado",24,20,4,13,V89
Totonicapan,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",259,108,151,13,R00 - R99
Totonicapan,Otras causas,640,323,317,13,Otras causas
Quetzaltenango,Todas las causas,3744,2072,1672,13,Todas las causas
Quetzaltenango,"Neumonía, organismo no especificado",308,156,152,13,J18
Quetzaltenango,"Diabetes mellitus, no especificada",268,108,160,13,E14
Quetzaltenango,Infarto agudo del miocardio,198,100,98,13,I21
Quetzaltenango,Exposición a factores no especificados,172,125,47,13,X59
Quetzaltenango,Insuficiencia cardíaca,129,57,72,13,I50
Quetzaltenango,Enfermedad alcohólica del hígado,122,111,11,13,K70
Quetzaltenango,"Envenenamiento accidental por, y exposición al alcohol",117,109,8,13,X45
Quetzaltenango,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",106,45,61,13,I64
Quetzaltenango,Diabetes mellitus no insulinodependiente,99,42,57,13,E11
Quetzaltenango,"Agresión con disparo de otras armas de fuego, y las no especificadas",95,81,14,13,X95
Quetzaltenango,Tumor maligno del estómago,90,42,48,13,C16
Quetzaltenango,"Desnutrición proteicocalórica, no especificada",89,47,42,13,E46
Quetzaltenango,Diarrea y gastroenteritis de presunto origen infeccioso,78,44,34,13,A09
Quetzaltenango,Tumor maligno del hígado y de las vías biliares intrahepáticas,76,34,42,13,C22
Quetzaltenango,Fibrosis y cirrosis del hígado,71,43,28,13,K74
Quetzaltenango,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",125,59,66,13,R00 - R99
Quetzaltenango,Otras causas,1601,869,732,13,Otras causas
Suchitepequez,Todas las causas,2694,1553,1141,13,Todas las causas
Suchitepequez,"Diabetes mellitus, no especificada",147,70,77,13,E14
Suchitepequez,Exposición a factores no especificados,101,81,20,13,X59
Suchitepequez,"Neumonía, organismo no especificado",86,54,32,13,J18
Suchitepequez,Fibrosis y cirrosis del hígado,71,42,29,13,K74
Suchitepequez,"Agresión con disparo de otras armas de fuego, y las no especificadas",64,59,5,13,X95
Suchitepequez,Infarto agudo del miocardio,59,31,28,13,I21
Suchitepequez,Insuficiencia renal no especificada,56,40,16,13,N19
Suchitepequez,"Disparo de otras armas de fuego, y las no especificadas",56,46,10,13,W34
Suchitepequez,Tumor maligno del hígado y de las vías biliares intrahepáticas,39,13,26,13,C22
Suchitepequez,"Accidente de vehículo de motor o sin motor, tipo de vehículo no especificado",37,30,7,13,V89
Suchitepequez,Diarrea y gastroenteritis de presunto origen infeccioso,35,23,12,13,A09
Suchitepequez,Otros trastornos del encéfalo,35,17,18,13,G93
Suchitepequez,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",29,16,13,13,I64
Suchitepequez,Insuficiencia renal crónica,29,21,8,13,N18
Suchitepequez,Diabetes mellitus no insulinodependiente,27,13,14,13,E11
Suchitepequez,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",983,527,456,13,R00 - R99
Suchitepequez,Otras causas,840,470,370,13,Otras causas
Retalhuleu,Todas las causas,1729,1005,724,13,Todas las causas
Retalhuleu,"Diabetes mellitus, no especificada",168,76,92,13,E14
Retalhuleu,"Neumonía, organismo no especificado",98,50,48,13,J18
Retalhuleu,Insuficiencia cardíaca,91,42,49,13,I50
Retalhuleu,Insuficiencia renal crónica,80,61,19,13,N18
Retalhuleu,Infarto agudo del miocardio,68,35,33,13,I21
Retalhuleu,Fibrosis y cirrosis del hígado,63,37,26,13,K74
Retalhuleu,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",61,27,34,13,I64
Retalhuleu,Exposición a factores no especificados,57,43,14,13,X59
Retalhuleu,"Agresión con disparo de otras armas de fuego, y las no especificadas",55,49,6,13,X95
Retalhuleu,Insuficiencia renal no especificada,47,34,13,13,N19
Retalhuleu,Diarrea y gastroenteritis de presunto origen infeccioso,39,16,23,13,A09
Retalhuleu,"Accidente de vehículo de motor o sin motor, tipo de vehículo no especificado",37,34,3,13,V89
Retalhuleu,Tumor maligno del hígado y de las vías biliares intrahepáticas,34,14,20,13,C22
Retalhuleu,Tumor maligno del estómago,31,13,18,13,C16
Retalhuleu,Otras septicemias,23,16,7,13,A41
Retalhuleu,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",79,53,26,13,R00 - R99
Retalhuleu,Otras causas,698,405,293,13,Otras causas
San Marcos,Todas las causas,4168,2397,1771,13,Todas las causas
San Marcos,"Neumonía, organismo no especificado",561,318,243,13,J18
San Marcos,Infarto agudo del miocardio,305,189,116,13,I21
San Marcos,Diarrea y gastroenteritis de presunto origen infeccioso,176,101,75,13,A09
San Marcos,"Diabetes mellitus, no especificada",147,60,87,13,E14
San Marcos,Exposición a factores no especificados,141,107,34,13,X59
San Marcos,"Desnutrición proteicocalórica, no especificada",133,77,56,13,E46
San Marcos,Fibrosis y cirrosis del hígado,130,93,37,13,K74
San Marcos,Insuficiencia cardíaca,123,56,67,13,I50
San Marcos,"Agresión con disparo de otras armas de fuego, y las no especificadas",116,113,3,13,X95
San Marcos,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",114,55,59,13,I64
San Marcos,Tumor maligno del hígado y de las vías biliares intrahepáticas,97,50,47,13,C22
San Marcos,Tumor maligno del estómago,87,42,45,13,C16
San Marcos,"Envenenamiento accidental por, y exposición al alcohol",76,70,6,13,X45
San Marcos,Úlcera gástrica,64,31,33,13,K25
San Marcos,Diabetes mellitus no insulinodependiente,62,21,41,13,E11
San Marcos,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",280,158,122,13,R00 - R99
San Marcos,Otras causas,1556,856,700,13,Otras causas
Huehuetenango,Todas las causas,4037,2232,1805,13,Todas las causas
Huehuetenango,"Neumonía, organismo no especificado",585,321,264,13,J18
Huehuetenango,Diarrea y gastroenteritis de presunto origen infeccioso,222,120,102,13,A09
Huehuetenango,Infarto agudo del miocardio,220,128,92,13,I21
Huehuetenango,"Diabetes mellitus, no especificada",192,63,129,13,E14
Huehuetenango,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",156,78,78,13,I64
Huehuetenango,Exposición a factores no especificados,113,92,21,13,X59
Huehuetenango,Tumor maligno del estómago,112,53,59,13,C16
Huehuetenango,Insuficiencia cardíaca,108,60,48,13,I50
Huehuetenango,Fibrosis y cirrosis del hígado,87,56,31,13,K74
Huehuetenango,Tumor maligno del hígado y de las vías biliares intrahepáticas,78,39,39,13,C22
Huehuetenango,"Envenenamiento accidental por, y exposición al alcohol",74,66,8,13,X45
Huehuetenango,Otras enfermedades cerebrovasculares,63,38,25,13,I67
Huehuetenango,"Accidente de vehículo de motor o sin motor, tipo de vehículo no especificado",59,49,10,13,V89
Huehuetenango,Insuficiencia renal no especificada,57,28,29,13,N19
Huehuetenango,Úlcera gástrica,56,29,27,13,K25
Huehuetenango,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",293,163,130,13,R00 - R99
Huehuetenango,Otras causas,1562,849,713,13,Otras causas
Quiche,Todas las causas,3555,1911,1644,13,Todas las causas
Quiche,"Neumonía, organismo no especificado",548,267,281,13,J18
Quiche,Diarrea y gastroenteritis de presunto origen infeccioso,188,97,91,13,A09
Quiche,"Diabetes mellitus, no especificada",131,61,70,13,E14
Quiche,Infarto agudo del miocardio,124,53,71,13,I21
Quiche,Insuficiencia cardíaca,119,46,73,13,I50
Quiche,Exposición a factores no especificados,114,91,23,13,X59
Quiche,"Envenenamiento accidental por, y exposición al alcohol",91,83,8,13,X45
Quiche,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",80,38,42,13,I64
Quiche,Tumor maligno del estómago,77,37,40,13,C16
Quiche,Enfermedad alcohólica del hígado,63,50,13,13,K70
Quiche,Otras septicemias,60,31,29,13,A41
Quiche,Fibrosis y cirrosis del hígado,60,32,28,13,K74
Quiche,Tumor maligno del hígado y de las vías biliares intrahepáticas,55,28,27,13,C22
Quiche,"Desnutrición proteicocalórica, no especificada",49,31,18,13,E46
Quiche,Trastornos mentales y del comportamiento debidos al uso de alcohol,48,44,4,13,F10
Quiche,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",304,149,155,13,R00 - R99
Quiche,Otras causas,1444,773,671,13,Otras causas
Baja Verapaz,Todas las causas,1206,636,570,13,Todas las causas
Baja Verapaz,"Neumonía, organismo no especificado",151,87,64,13,J18
Baja Verapaz,Infarto agudo del miocardio,111,56,55,13,I21
Baja Verapaz,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",87,37,50,13,I64
Baja Verapaz,"Diabetes mellitus, no especificada",53,21,32,13,E14
Baja Verapaz,Tumor maligno del estómago,43,20,23,13,C16
Baja Verapaz,"Accidente de vehículo de motor o sin motor, tipo de vehículo no especificado",33,28,5,13,V89
Baja Verapaz,Exposición a factores no especificados,29,21,8,13,X59
Baja Verapaz,Insuficiencia cardíaca,27,8,19,13,I50
Baja Verapaz,Tumor maligno del hígado y de las vías biliares intrahepáticas,23,10,13,13,C22
Baja Verapaz,"Desnutrición proteicocalórica, no especificada",23,9,14,13,E46
Baja Verapaz,Diarrea y gastroenteritis de presunto origen infeccioso,22,13,9,13,A09
Baja Verapaz,"Agresión con disparo de otras armas de fuego, y las no especificadas",20,17,3,13,X95
Baja Verapaz,Otras septicemias,19,14,5,13,A41
Baja Verapaz,Fibrosis y cirrosis del hígado,18,7,11,13,K74
Baja Verapaz,Hipertensión esencial (primaria),16,7,9,13,I10
Baja Verapaz,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",60,31,29,13,R00 - R99
Baja Verapaz,Otras causas,471,250,221,13,Otras causas
Alta Verapaz,Todas las causas,4189,2198,1991,13,Todas las causas
Alta Verapaz,"Neumonía, organismo no especificado",658,319,339,13,J18
Alta Verapaz,Diarrea y gastroenteritis de presunto origen infeccioso,324,158,166,13,A09
Alta Verapaz,Infarto agudo del miocardio,264,129,135,13,I21
Alta Verapaz,"Desnutrición proteicocalórica, no especificada",260,118,142,13,E46
Alta Verapaz,Exposición a factores no especificados,134,108,26,13,X59
Alta Verapaz,"Diabetes mellitus, no especificada",127,59,68,13,E14
Alta Verapaz,Tumor maligno del hígado y de las vías biliares intrahepáticas,85,41,44,13,C22
Alta Verapaz,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",85,38,47,13,I64
Alta Verapaz,Fibrosis y cirrosis del hígado,84,32,52,13,K74
Alta Verapaz,Dificultad respiratoria del recién nacido,82,50,32,13,P22
Alta Verapaz,Síndromes de aspiración neonatal,75,48,27,13,P24
Alta Verapaz,Úlcera gástrica,68,39,29,13,K25
Alta Verapaz,Otras septicemias,62,31,31,13,A41
Alta Verapaz,Tumor maligno del estómago,61,28,33,13,C16
Alta Verapaz,"Agresión con disparo de otras armas de fuego, y las no especificadas",56,54,2,13,X95
Alta Verapaz,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",98,53,45,13,R00 - R99
Alta Verapaz,Otras causas,1666,893,773,13,Otras causas
Peten,Todas las causas,1903,1155,748,13,Todas las causas
Peten,"Agresión con disparo de otras armas de fuego, y las no especificadas",212,196,16,13,X95
Peten,"Neumonía, organismo no especificado",116,70,46,13,J18
Peten,Infarto agudo del miocardio,101,63,38,13,I21
Peten,"Diabetes mellitus, no especificada",99,37,62,13,E14
Peten,Exposición a factores no especificados,71,58,13,13,X59
Peten,"Accidente de vehículo de motor o sin motor, tipo de vehículo no especificado",65,55,10,13,V89
Peten,Diarrea y gastroenteritis de presunto origen infeccioso,63,35,28,13,A09
Peten,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",56,27,29,13,I64
Peten,Fibrosis y cirrosis del hígado,44,19,25,13,K74
Peten,Diabetes mellitus no insulinodependiente,36,16,20,13,E11
Peten,Agresión con objeto cortante,30,28,2,13,X99
Peten,Agresión por medios no especificados,29,28,1,13,Y09
Peten,Tumor maligno del estómago,28,14,14,13,C16
